#{"env_id": "MountainCar-v0", "t_start": 1517941374.045607}
r,l,t
-200.0,200,0.855843
-200.0,200,1.272695
-200.0,200,1.681569
-200.0,200,2.098238
-200.0,200,2.52954
-200.0,200,4.146713
-200.0,200,5.708353
-200.0,200,7.299666
-200.0,200,8.873355
-200.0,200,10.403038
-200.0,200,11.999162
-200.0,200,13.572849
-200.0,200,15.025123
-200.0,200,16.596666
-200.0,200,18.168468
-200.0,200,19.719442
-200.0,200,21.297525
-200.0,200,22.884629
-200.0,200,24.466569
-200.0,200,26.050252
-200.0,200,27.63434
-200.0,200,29.217082
-200.0,200,30.813739
-200.0,200,32.37575
-200.0,200,33.833115
-200.0,200,35.431789
-200.0,200,36.988016
-200.0,200,38.559813
-200.0,200,40.177033
-200.0,200,41.754761
-200.0,200,43.348103
-200.0,200,44.921095
-200.0,200,46.466554
-200.0,200,48.029099
-200.0,200,49.58756
-200.0,200,51.150448
-200.0,200,52.725796
-200.0,200,54.209466
-200.0,200,55.751073
-200.0,200,57.334756
-200.0,200,58.944004
-200.0,200,60.505501
-200.0,200,62.072922
-200.0,200,63.67167
-200.0,200,65.247551
-200.0,200,66.824765
-200.0,200,68.408653
-200.0,200,70.065909
-200.0,200,71.615675
-200.0,200,73.082045
-200.0,200,74.642958
-200.0,200,76.223834
-200.0,200,77.806682
-200.0,200,79.383557
-200.0,200,80.961778
-200.0,200,82.530181
-200.0,200,84.102073
-200.0,200,85.683207
-200.0,200,87.268818
-200.0,200,88.814776
-200.0,200,90.356709
-200.0,200,91.824292
-200.0,200,93.372115
-200.0,200,94.94433
-200.0,200,96.525653
-200.0,200,98.124085
-200.0,200,99.670732
-200.0,200,101.219446
-200.0,200,102.777672
-200.0,200,104.318703
-200.0,200,105.912826
-200.0,200,107.469495
-200.0,200,109.033663
-200.0,200,110.597547
-200.0,200,112.057013
-200.0,200,113.626279
-200.0,200,115.226211
-200.0,200,116.810587
-200.0,200,118.392681
-200.0,200,119.987116
-200.0,200,121.545939
-200.0,200,123.116961
-200.0,200,124.694618
-200.0,200,126.281824
-200.0,200,127.863092
-200.0,200,129.449871
-200.0,200,130.911637
-200.0,200,132.474966
-200.0,200,134.029968
-200.0,200,135.597749
-200.0,200,137.182201
-200.0,200,138.755522
-200.0,200,140.320174
-200.0,200,141.925624
-200.0,200,143.502115
-200.0,200,145.053495
-200.0,200,146.624148
-200.0,200,148.201476
-200.0,200,149.671816
-200.0,200,151.223289
-200.0,200,152.904887
-200.0,200,154.474189
-200.0,200,156.043646
-200.0,200,157.623531
-200.0,200,159.197015
-200.0,200,160.745601
-200.0,200,162.335043
-200.0,200,163.906431
-200.0,200,165.46421
-200.0,200,167.028935
-200.0,200,168.4951
-200.0,200,170.060105
-200.0,200,171.618987
-200.0,200,173.167805
-200.0,200,174.75316
-200.0,200,176.319564
-200.0,200,177.884448
-200.0,200,179.471799
-200.0,200,181.035857
-200.0,200,182.58867
-200.0,200,184.158432
-200.0,200,185.738639
-200.0,200,187.294343
-200.0,200,188.768565
-200.0,200,190.328428
-200.0,200,191.886992
-200.0,200,193.467072
-200.0,200,195.068863
-200.0,200,196.666319
-200.0,200,198.324528
-200.0,200,199.901801
-200.0,200,201.480952
-200.0,200,203.064389
-200.0,200,204.638804
-200.0,200,206.204397
-200.0,200,207.674856
-200.0,200,209.229864
-200.0,200,210.831883
-200.0,200,212.379006
