#{"env_id": "MountainCar-v0", "t_start": 1518014083.279501}
r,l,t
-200.0,200,1.16276
-200.0,200,1.644905
-200.0,200,2.115962
-200.0,200,2.591185
-200.0,200,3.070339
-200.0,200,4.313711
-200.0,200,5.533195
-200.0,200,6.749211
-200.0,200,7.959536
-200.0,200,9.184553
-200.0,200,10.407364
-200.0,200,11.621253
-200.0,200,12.806858
-200.0,200,13.998264
-200.0,200,15.203959
-200.0,200,16.403819
-200.0,200,17.608822
-200.0,200,18.816919
-200.0,200,20.013463
-200.0,200,21.229299
-200.0,200,22.43092
-200.0,200,23.658855
-200.0,200,24.95615
-200.0,200,26.717082
-200.0,200,28.472399
-200.0,200,30.14316
-200.0,200,31.952711
-200.0,200,33.286479
-200.0,200,34.771031
-200.0,200,36.118419
-200.0,200,37.471074
-200.0,200,39.302604
-200.0,200,40.678143
-200.0,200,42.01039
-200.0,200,43.361295
-200.0,200,44.768864
-200.0,200,46.130754
-200.0,200,47.468158
-200.0,200,48.806925
-200.0,200,50.205144
-200.0,200,51.603598
-200.0,200,52.970477
-200.0,200,54.345636
-200.0,200,55.890556
-200.0,200,57.529787
-200.0,200,59.054245
-200.0,200,60.529074
-200.0,200,61.71904
-200.0,200,62.901104
-200.0,200,64.122455
-200.0,200,65.353577
-200.0,200,66.834676
-200.0,200,68.204257
-200.0,200,69.557694
-200.0,200,70.935422
-200.0,200,72.411488
-200.0,200,73.863242
-200.0,200,75.071063
-200.0,200,76.282133
-200.0,200,77.580702
-200.0,200,79.036595
-200.0,200,80.360552
-200.0,200,81.952412
-200.0,200,83.250749
-200.0,200,84.5569
-200.0,200,85.895
-200.0,200,87.226091
-200.0,200,88.590928
-200.0,200,89.980869
-200.0,200,91.303471
-200.0,200,92.747415
-200.0,200,94.052264
-200.0,200,95.442447
-200.0,200,96.790851
-200.0,200,98.169688
-200.0,200,99.46965
-200.0,200,100.807045
-200.0,200,102.17052
-200.0,200,103.490283
-200.0,200,104.836583
-200.0,200,106.175774
-200.0,200,107.537049
-200.0,200,108.879513
-200.0,200,110.214093
-200.0,200,111.586411
-200.0,200,112.869145
-200.0,200,114.217156
-200.0,200,115.511151
-200.0,200,116.990325
-200.0,200,118.406723
-200.0,200,119.732019
-200.0,200,121.067856
-200.0,200,122.389106
-200.0,200,123.747278
-200.0,200,125.058641
-200.0,200,126.5731
-200.0,200,127.951458
-200.0,200,129.547991
-200.0,200,130.870975
-200.0,200,132.188527
-200.0,200,133.756507
-200.0,200,135.129793
-200.0,200,136.456949
-200.0,200,137.77164
-200.0,200,139.211956
-200.0,200,140.573673
-200.0,200,141.904871
-200.0,200,143.234717
-200.0,200,144.669796
-200.0,200,146.024751
-200.0,200,147.348014
-200.0,200,148.683753
-200.0,200,150.14237
-200.0,200,151.473361
-200.0,200,152.784944
-200.0,200,154.202919
-200.0,200,155.630465
-200.0,200,156.965113
-200.0,200,158.436965
-200.0,200,159.809086
-200.0,200,161.278658
-200.0,200,162.59464
-200.0,200,163.939984
-200.0,200,165.218399
-200.0,200,166.59388
-200.0,200,167.977158
-200.0,200,169.347245
-200.0,200,170.752293
-200.0,200,172.096915
-200.0,200,173.448617
-200.0,200,174.812498
-200.0,200,176.236679
-200.0,200,177.752483
-200.0,200,179.159424
-200.0,200,180.518792
-200.0,200,181.866576
-200.0,200,183.212109
-200.0,200,184.575598
-200.0,200,185.915026
-200.0,200,187.264552
-200.0,200,188.748687
-200.0,200,190.388748
-200.0,200,191.763388
-200.0,200,193.080592
-200.0,200,194.401683
-200.0,200,195.718254
-200.0,200,197.053232
-200.0,200,198.46675
-200.0,200,199.96796
-200.0,200,201.301098
-200.0,200,202.798919
-200.0,200,204.139613
