#{"env_id": "MountainCar-v0", "t_start": 1518011461.949919}
r,l,t
-200.0,200,1.536634
-200.0,200,1.789495
-200.0,200,2.049224
-200.0,200,2.302746
-200.0,200,2.563082
-200.0,200,3.598759
-200.0,200,4.627238
-200.0,200,5.632267
-200.0,200,6.630975
-200.0,200,7.643188
-200.0,200,8.658343
-200.0,200,9.646424
-200.0,200,10.625868
-200.0,200,11.602008
-200.0,200,12.596921
-200.0,200,13.569067
-200.0,200,14.560075
-200.0,200,15.555355
-200.0,200,16.568166
-200.0,200,17.601145
-200.0,200,18.609256
-200.0,200,19.621074
-200.0,200,20.603159
-200.0,200,21.617099
-200.0,200,22.648385
-200.0,200,23.626392
-200.0,200,24.623472
-200.0,200,25.628859
-200.0,200,26.634987
-200.0,200,27.660508
-200.0,200,28.664756
-200.0,200,29.682575
-200.0,200,30.660766
-200.0,200,31.667281
-200.0,200,32.672188
-200.0,200,33.689855
-200.0,200,34.669233
-200.0,200,35.677732
-200.0,200,36.699542
-200.0,200,37.722881
-200.0,200,38.731052
-200.0,200,39.761956
-200.0,200,40.770623
-200.0,200,41.765812
-200.0,200,42.790676
-200.0,200,43.793186
-200.0,200,44.815567
-200.0,200,45.830487
-200.0,200,46.837398
-200.0,200,47.890338
-200.0,200,48.874772
-200.0,200,49.917593
-200.0,200,50.968523
-200.0,200,52.00382
-200.0,200,53.018574
-200.0,200,54.065506
-200.0,200,55.10189
-200.0,200,56.115087
-200.0,200,57.108309
-200.0,200,58.127897
-200.0,200,59.172913
-200.0,200,60.208102
-200.0,200,61.212431
-200.0,200,62.219392
-200.0,200,63.233905
-200.0,200,64.256786
-200.0,200,65.263598
-200.0,200,66.263774
-200.0,200,67.273196
-200.0,200,68.311916
-200.0,200,69.32672
-200.0,200,70.313818
-200.0,200,71.3197
-200.0,200,72.31933
-200.0,200,73.323543
-200.0,200,74.325736
-200.0,200,75.3429
-200.0,200,76.330539
-200.0,200,77.353221
-200.0,200,78.377059
-200.0,200,79.38571
-200.0,200,80.39975
-200.0,200,81.412439
-200.0,200,82.441118
-200.0,200,83.489535
-200.0,200,84.502348
-200.0,200,85.520122
-200.0,200,86.549443
-200.0,200,87.559982
